STYLE#,MILIMETER    /    NOTE,DIMENSIONS,AVAILABLE  LENGTH,PAGE /  SUB-PAGE HEADER,DESCRIPTION,AVG.WT.,TRIPLE KEY UNIT PRICE IN USD,PAGE #,U= DO NOT PRINT WEIGHT W=PRINT WEIGHT,SECTION ,COLLECTION TYPE
BOX028         ,0.45MM,,          ,,0.45MM YG CLASSIC BOX CHAIN   ,1,,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX028-16      ,     ,,"16""       ",,16  0.45MM CLASSIC BOX        ,0.6,78.21,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX028-18      ,     ,,"18""       ",,18  0.45MM CLASSIC BOX CHAIN  ,0.7,91.23,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX028-20      ,     ,,"20""       ",,14KY .45MM CLASSIC BOX        ,0.85,110.79,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX040         ,0.6MM,,          ,,BOX 040 .6MM                  ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX040-13      ,     ,,"13""       ",,13  0.6MM BOX CHAIN           ,0.7,88.11,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX040-16      ,     ,,"16""       ",,16  BOX 040 .60 MM            ,0.9,113.25,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX040-17      ,     ,,"17""       ",,14KT BOX CHAIN .60MM 17       ,0.95,119.55,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX040-18      ,     ,,"18""       ",,18  BOX 040 .6MM              ,1,125.85,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX040-20      ,     ,,"20""       ",,20  BOX 040 .6MM              ,1.1,138.42,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX040-24      ,     ,,"24""       ",,24  BOX 040 .6MM              ,1.3,163.59,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX048         ,0.7MM,,          ,,14K YG BOX CHAIN .7MM         ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX048-16      ,     ,,"16""       ",,16  BOX CHAIN                 ,1.5,185.4,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX048-18      ,     ,,"18""       ",,18  BOX CHAIN                 ,1.6,197.76,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX048-20      ,     ,,"20""       ",,20  BOX CHAIN                 ,1.8,222.48,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX048-24      ,     ,,"24""       ",,24  BOX CHAIN                 ,2,247.2,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053         ,0.8MM,,          ,,BOX 053 .8MM                  ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053-13      ,     ,,"13""       ",,13  BOX053                    ,1.5,184.29,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053-16      ,     ,,"16""       ",,16  BOX 053                   ,1.8,221.13,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053-18      ,     ,,"18""       ",,18  BOX 053                   ,2,245.7,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053-20      ,     ,,"20""       ",,20  BOX 053                   ,2.2,270.27,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053-22      ,     ,,"22""       ",,22  BOX 053                   ,2.4,294.84,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053-24      ,     ,,"24""       ",,24  BOX 053                   ,2.6,319.41,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX053-30      ,     ,,"30""       ",,30  BOX 053                   ,3.2,393.12,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX063         ,1.0MM,,          ,,BOX 063 1.0MM                 ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX063-16      ,     ,,"16""       ",,16  BOX 063                   ,2.9,356.28,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX063-18      ,     ,,"18""       ",,18  BOX 063                   ,3.1,380.82,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX063-20      ,     ,,"20""       ",,20  BOX 063                   ,3.3,405.39,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX063-22      ,     ,,"22""       ",,22  BOX 063                   ,3.7,454.53,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX063-24      ,     ,,"24""       ",,24  BOX 063                   ,3.9,479.1,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX063-30      ,     ,,"30""       ",,30  BOX 063                   ,5,614.25,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX068         ,1.2MM,,          ,,BOX 068 1.2MM                 ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX068-16      ,     ,,"16""       ",,16  BOX 068                   ,3.8,466.83,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX068-18      ,     ,,"18""       ",,18  BOX 068                   ,4.3,528.24,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX068-20      ,     ,,"20""       ",,20  BOX 068                   ,4.7,577.38,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX068-22      ,     ,,"22""       ",,22  BOX 068                   ,5.1,626.52,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX068-24      ,     ,,"24""       ",,24  BOX 068                   ,5.6,687.96,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX068-30      ,     ,,"30""       ",,30  BOX 068                   ,7.1,872.22,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX073         ,1.4MM,,          ,,BOX 073 1.4MM                 ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX073-16      ,     ,,"16""       ",,16  BOX 073                   ,5.8,712.53,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX073-18      ,     ,,"18""       ",,18  BOX 073                   ,6.5,798.51,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX073-20      ,     ,,"20""       ",,20  BOX 073                   ,7.14,877.14,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX073-22      ,     ,,"22""       ",,22  BOX 073                   ,8.1,995.07,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX073-24      ,     ,,"24""       ",,24  BOX 073                   ,8.2,1007.37,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX073-30      ,     ,,"30""       ",,30  BOX 073                   ,10.4,1277.64,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX090         ,1.7MM,,          ,,BOX 090 1.7MM                 ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX090-18      ,     ,,"18""       ",,18  BOX 090                   ,8.4,1031.94,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX090-20      ,     ,,"20""       ",,20  BOX 090                   ,9.3,1142.49,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX090-22      ,     ,,"22""       ",,22  BOX 090 1.7MM             ,10.5,1289.91,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX090-24      ,     ,,"24""       ",,24  BOX 090                   ,11.05,1357.47,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
BOX090-30      ,     ,,"30""       ",,30  BOX 090                   ,13.9,1707.6,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
LBOX040        ,0.6MM,,          ,,0.6MM CLASSIC BOX W/LOBSTER LK,1,125.85,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
LBOX040-16     ,     ,,"16""       ",,16  0.6MM YG BOX W/LOB LOCK   ,1.2,151.02,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
LBOX040-18     ,     ,,"18""       ",,18  0.6MM YG BOX W/LOB LOCK   ,1.3,163.59,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
LBOX040-20     ,     ,,"20""       ",,20  0.6MM YG BOX W/LOB LOCK   ,1.5,188.76,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
LBOX040-24     ,     ,,"24""       ",,24  0.6MM YG BOX W/ LOB LOCK  ,1.6,201.36,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
OCB063         ,1.1MM,,          ,,1.1MM OCT. BOX CHAIN          ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
OCB063-16      ,     ,,"16""       ",,16  1.1MM OCT BOX CHAIN       ,2.7,335.73,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
OCB063-18      ,     ,,"18""       ",,18  1.1MM OCT. BOX CHAIN      ,3,373.05,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
OCB063-20      ,     ,,"20""       ",,20  1.1MM OCT. BOX CHAIN      ,3.3,410.34,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
OCB063-24      ,     ,,"24""       ",,24  1.1MM OCT. BOX CHAIN      ,4,497.4,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBOX028       ,0.45MM,,          ,,14KT PINK BOX 028 .45MM       ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBOX028-16    ,     ,,"16""       ",,                              ,0.6,79.11,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBOX028-18    ,     ,,"18""       ",,14KT PINK BOX 028 .45MM 18    ,0.7,92.28,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBOX028-20    ,     ,,"20""       ",,                              ,0.8,105.48,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBOX045       ,0.6MM,,          ,,14K 0.6MM PINK BOX CHAIN      ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBOX045-13    ,     ,,"13""       ",,13  14KT PINK BOX CHAIN       ,0.7,89.13,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBOX045-16    ,     ,,"16""       ",,16  14KT PINK BOX CHAIN       ,0.8,101.88,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBOX045-17    ,     ,,"17""       ",,17  14KT PINK BOX CHAIN       ,0.9,114.6,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBOX045-18    ,     ,,"18""       ",,18  14KT PINK BOX CHAIN       ,1,127.35,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBOX045-20    ,     ,,"20""       ",,20  14KT PINK BOX CHAIN       ,1.1,140.07,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBOX045-24    ,     ,,"24""       ",,24  14KT PINK BOX             ,1.3,165.54,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBX053        ,0.8MM,,          ,,14K PINK BOX CHAIN 0.8MM      ,1, ,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBX053-16     ,     ,,"16""       ",,16  PINK BOX CHAIN            ,1.8,223.83,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBX053-18     ,     ,,"18""       ",,18  PINK BOX CHAIN            ,2,248.7,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBX053-20     ,     ,,"20""       ",,20  PINK BOX CHAIN            ,2.2,273.57,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKBX053-24     ,     ,,"24""       ",,24  PINK BOX CHAIN            ,3,373.05,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
PKSING20       ,1.0MM,,          ,,1.0MM PG CLASSIC SINGAPORE 020,1, ,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
PKSING20-16    ,     ,,"16""       ",,16  1.0MM PG CLASSIC SING 020 ,0.9,113.25,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
PKSING20-18    ,     ,,"18""       ",,18  1.0MM PG CLASSIC SING 020 ,1,125.85,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
PKSING20-20    ,     ,,"20""       ",,20  1.0MM PG CLASSIC SING 020 ,1.1,138.42,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
PKSING20-24    ,     ,,"24""       ",,24  14KT PINK SINGAPORE       ,1.3,163.59,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
RBX100         ,1.7MM,,          ,,14KT YG OPEN BOX CHAIN        ,1, ,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
RBX100-16      ,     ,,"16""       ",,14KT 16  YG OPEN BOX CHAIN    ,3.1,411.06,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
RBX100-18      ,     ,,"18""       ",,14KT 18  YG OPEN BOX CHAIN    ,3.4,450.84,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
RBX100-20      ,     ,,"20""       ",,14KT 20  YG OPEN BOX CHAIN    ,3.9,517.14,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
RBX100-24      ,     ,,"24""       ",,24  YG OPEN BOX CHAIN         ,4.7,623.22,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
RBX140         ,2.4MM,,          ,,14KT YG OPEN BOX CHAIN        ,1, ,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
RBX140-16      ,     ,,"16""       ",,14KT 16  YG OPEN BOX CHAIN    ,5.2,689.52,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
RBX140-18      ,     ,,"18""       ",,14KT 18  YG OPEN BOX CHAIN    ,5.8,769.08,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
RBX140-20      ,     ,,"20""       ",,14KT 20  YG OPEN BOX CHAIN    ,6.4,848.64,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
RBX140-24      ,     ,,"24""       ",,24  YG OPEN BOX CHAIN         ,7.7,1021.02,4,W,ROYAL CHAIN GOLD                                  ,OPEN BOX CHAIN                                    
SING015        ,0.8MM,,          ,,0.8MM CLASSIC SINGAPORE       ,1,126.6,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING015-16     ,     ,,"16""       ",,16  0.8MM CLASSIC SING        ,0.6,75.96,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING015-18     ,     ,,"18""       ",,18  0.8MM CLASSIC SING        ,0.7,88.62,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING020        ,1.0MM ,,          ,,SINGAPORE 1.0MM               ,1,124.35,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING020-07     ,     ,,"7""        ",,7  SINGAPORE 020              ,0.5,62.16,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING020-13     ,     ,,"13""       ",,14Y 13  1.0MM SINGAPORE       ,0.75,93.24,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING020-16     ,     ,,"16""       ",,16  SINGAPORE 020             ,0.9,111.9,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING020-18     ,     ,,"18""       ",,18  SINGAPORE 020             ,1,124.35,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING020-20     ,     ,,"20""       ",,20  SINGAPORE 020             ,1.1,136.77,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING020-24     ,     ,,"24""       ",,24  SINGAPORE 020             ,1.3,161.64,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING025        ,1.5MM,,          ,,SINGAPORE 1.5MM               ,1,124.35,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING025-16     ,     ,,"16""       ",,16  SINGAPORE 025             ,1.4,174.09,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING025-18     ,     ,,"18""       ",,18  SINGAPORE 025             ,1.6,198.96,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING025-20     ,     ,,"20""       ",,20  SINGAPORE 025             ,1.7,211.38,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING025-24     ,     ,,"24""       ",,24  SINGAPORE 025             ,2,248.7,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING030        ,1.7MM,,          ,,1.7MM YG SINGAPORE CHAIN      ,1,124.35,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING030-07     ,     ,,"7""        ",,14KY 7  1.7MM SINGAPORE       ,1,124.35,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING030-08     ,     ,,"8""        ",,8  1.7MM YG SINGAPORE CHAIN   ,1.2,149.22,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING030-16     ,     ,,"16""       ",,16  1.7MM CLASSIC SING        ,2.2,273.57,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING030-18     ,     ,,"18""       ",,18  1.7MM SINGAPORE CHAIN     ,2.5,310.86,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING030-20     ,     ,,"20""       ",,20  1.7MM SINGAPORE CHAIN     ,2.8,348.18,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING035        ,2.1MM,,          ,,SINGAPORE 2.1MM               ,1,124.35,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING035-07     ,     ,,"7""        ",,7  SINGAPORE 035              ,1.6,198.96,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING035-10     ,     ,,"10""       ",,10  SINGAPORE 035             ,1.8,223.83,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING035-16     ,     ,,"16""       ",,16  SINGAPORE 035             ,2.9,360.6,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING035-18     ,     ,,"18""       ",,18  SINGAPORE 035             ,3.2,397.92,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING035-20     ,     ,,"20""       ",,20  SINGAPORE 035             ,3.6,447.66,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
SING035-24     ,     ,,"24""       ",,24  SINGAPORE 035             ,4.3,534.69,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
TTSNG30        ,2.0MM,,          ,,2.0MM TT CLASSIC SINGAPORE 030,1,132.6,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
TTSNG30-16     ,     ,,"16""       ",,16  2.0MM TT CLASSIC SING 030 ,2.3,304.98,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
TTSNG30-18     ,     ,,"18""       ",,18  2.0MM TT CLASSIC SING. 030,2.9,384.54,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
TTSNG30-20     ,     ,,"20""       ",,20  2.0MM TT CLASSIC SING. 030,3.1,411.06,4,W,ROYAL CHAIN GOLD                                  ,SINGAPORE CHAIN                                   
WBOX028        ,0.45MM,,          ,,0.45MM WG CLASSIC BOX CHAIN   ,1,131.85,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX028-16     ,     ,,"16""       ",,16  0.45MM WG CLASSIC BOX CHAI,0.62,81.72,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX028-18     ,     ,,"18""       ",,18  0.45MM WHITE BOX CHAIN    ,0.7,92.28,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX028-20     ,     ,,"20""       ",,20  14KT.45MM  WHIE BOX       ,0.85,112.05,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX045        ,0.6MM,,          ,,WHITE BOX 045 .6MM            ,1,127.35,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX045-13     ,     ,,"13""       ",,WG BOX CHAIN                  ,0.7,89.13,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX045-16     ,     ,,"16""       ",,16  WHITE BOX 045 .6MM        ,0.9,114.6,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX045-17     ,     ,,"17""       ",,WHITE BOX .6MM 14KT           ,0.95,120.96,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX045-18     ,     ,,"18""       ",,18  WBOX 045 .6MM             ,1,127.35,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX045-20     ,     ,,"20""       ",,20  WBOX 045 .6MM             ,1.1,140.07,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX045-24     ,     ,,"24""       ",,24  WBOX045 .6MM              ,1.3,165.54,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX048        ,0.7MM,,          ,,14K WG BOX CHAIN .7MM         ,1,125.1,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX048-16     ,     ,,"16""       ",,16  WG BOX CHAIN              ,1.5,187.65,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX048-18     ,     ,,"18""       ",,18  WG BOX CHAIN              ,1.6,200.16,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX048-20     ,     ,,"20""       ",,20  WG BOX CHAIN              ,1.8,225.18,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX048-24     ,     ,,"24""       ",,24  WG BOX CHAIN              ,2,250.2,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX053        ,0.9MM,,          ,,WHITE BOX .9MM                ,1,124.35,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX053-16     ,     ,,"16""       ",,16  WHITE BOX 053 .9MM        ,1.8,223.83,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX053-18     ,     ,,"18""       ",,18  WBOX053 .9MM              ,2,248.7,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX053-20     ,     ,,"20""       ",,20  WBOX053 .9MM              ,2.2,273.57,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX053-22     ,     ,,"22""       ",,22  WHITE BOX CHAIN .9MM      ,2.4,298.44,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX053-24     ,     ,,"24""       ",,24  WBOX053 .9MM              ,2.6,323.31,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX053-30     ,     ,,"30""       ",,30  WBOX053 .9MM              ,3.2,397.92,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX063        ,1.0MM,,          ,,WHITE BOX 063                 ,1,124.35,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX063-16     ,     ,,"16""       ",,16  1MM WG BOX                ,2.8,348.18,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX063-18     ,     ,,"18""       ",,18  1MM WG BOX                ,3,373.05,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX063-20     ,     ,,"20""       ",,20  1MM WG BOX                ,3.4,422.79,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX063-22     ,     ,,"22""       ",,22  1MM WGBOX                 ,3.8,472.53,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX063-24     ,     ,,"24""       ",,24  1MM WG                    ,4.1,509.82,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX063-30     ,     ,,"30""       ",,30  1MM WG BOX                ,5.1,634.17,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX068        ,1.1MM,,          ,,1.2MM WHITE CLASSIC BOX       ,1,124.35,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX068-16     ,     ,,"16""       ",,16  1.2MM 14K WHITE BOX       ,3.9,484.95,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX068-18     ,     ,,"18""       ",,18  1.2MM 14K WHITE BOX       ,4.3,534.69,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX068-20     ,     ,,"20""       ",,20  1.2MM 14K WHITE BOX       ,4.7,584.43,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX068-22     ,     ,,"22""       ",,22  1.2MM WHITE BOX           ,5.2,646.62,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX068-24     ,     ,,"24""       ",,24  1MM 14K WG BOX CHAIN      ,5.6,696.36,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX068-30     ,     ,,"30""       ",,30  1MM 14K WG BOX CHAIN      ,7.1,882.87,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX073        ,1.4MM,,          ,,14K WHITE BOX CHAIN           ,1,124.35,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX073-16     ,     ,,"16""       ",,16  1.4MM WHITE BOX           ,5.8,721.23,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX073-18     ,     ,,"18""       ",,18  1.4MM WHITE BOX           ,6.5,808.26,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX073-20     ,     ,,"20""       ",,20  1.4MM WHITE BOX           ,7.2,895.32,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX073-22     ,     ,,"22""       ",,22  1.4MM WHITE BOX           ,8,994.8,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX073-24     ,     ,,"24""       ",,24  1.4MM WHITE BOX           ,8.7,1081.83,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WBOX073-30     ,     ,,"30""       ",,30  1.4MM WHITE BOX           ,10.8,1342.98,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WLBOX45        ,0.6MM,,          ,,0.6MM 14KT WG BOX W/LOB LOCK  ,1,127.35,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WLBOX45-16     ,     ,,"16""       ",,16  14KT WG BOX W/LOB LK 0.6MM,1.2,152.82,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WLBOX45-18     ,     ,,"18""       ",,18  14KT WG BOX W/LOB LK 0.6MM,1.3,165.54,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
WLBOX45-20     ,     ,,"20""       ",,20  14KT WG BOX W/LOB LK 0.6MM,1.4,178.29,4,W,ROYAL CHAIN GOLD                                  ,BOX CHAIN                                         
